Q1.1, Identify the affiliations of the authors of the paper http://ceur-ws.org/Vol-1006/paper2.pdf, AffiliationEntry
Q1.2, Identify the affiliations of the authors of the paper http://ceur-ws.org/Vol-1044/paper-01.pdf, AffiliationEntry
Q1.3, Identify the affiliations of the authors of the paper http://ceur-ws.org/Vol-1116/paper1.pdf, AffiliationEntry
Q1.4, Identify the affiliations of the authors of the paper http://ceur-ws.org/Vol-1116/paper6.pdf, AffiliationEntry
Q1.5, Identify the affiliations of the authors of the paper http://ceur-ws.org/Vol-1184/ldow2014_paper_02.pdf, AffiliationEntry
Q1.6, Identify the affiliations of the authors of the paper http://ceur-ws.org/Vol-1215/paper-05.pdf, AffiliationEntry
Q1.7, Identify the affiliations of the authors of the paper http://ceur-ws.org/Vol-1303/paper_4.pdf, AffiliationEntry
Q1.8, Identify the affiliations of the authors of the paper http://ceur-ws.org/Vol-1313/paper_11.pdf, AffiliationEntry
Q1.9, Identify the affiliations of the authors of the paper http://ceur-ws.org/Vol-1313/paper_13.pdf, AffiliationEntry
Q1.10, Identify the affiliations of the authors of the paper http://ceur-ws.org/Vol-1313/paper_14.pdf, AffiliationEntry
Q1.11, Identify the affiliations of the authors of the paper http://ceur-ws.org/Vol-1313/paper_4.pdf, AffiliationEntry
Q1.12, Identify the affiliations of the authors of the paper http://ceur-ws.org/Vol-1315/paper15.pdf, AffiliationEntry
Q1.13, Identify the affiliations of the authors of the paper http://ceur-ws.org/Vol-1315/paper3.pdf, AffiliationEntry
Q1.14, Identify the affiliations of the authors of the paper http://ceur-ws.org/Vol-1315/paper8.pdf, AffiliationEntry
Q1.15, Identify the affiliations of the authors of the paper http://ceur-ws.org/Vol-1317/om2014_Tpaper5.pdf, AffiliationEntry
Q1.16, Identify the affiliations of the authors of the paper http://ceur-ws.org/Vol-1317/om2014_poster3.pdf, AffiliationEntry
Q1.17, Identify the affiliations of the authors of the paper http://ceur-ws.org/Vol-1317/om2014_poster4.pdf, AffiliationEntry
Q1.18, Identify the affiliations of the authors of the paper http://ceur-ws.org/Vol-1317/om2014_poster8.pdf, AffiliationEntry
Q1.19, Identify the affiliations of the authors of the paper http://ceur-ws.org/Vol-1319/morse14_paper_04.pdf, AffiliationEntry
Q1.20, Identify the affiliations of the authors of the paper http://ceur-ws.org/Vol-1320/paper_25.pdf, AffiliationEntry
Q1.21, Identify the affiliations of the authors of the paper http://ceur-ws.org/Vol-1405/paper-02.pdf, AffiliationEntry
